Valor_Aluguel;Valor_Condominio;Metragem;N_Quartos;N_banheiros;N_Suites;N_Vagas
833;350;50;2;2;1;1
840;198;57;2;2;1;1
840;740;70;2;1;0;1
850;415;50;2;2;1;1
850;415;50;2;2;1;1
850;0;54;2;2;1;1
850;0;40;2;2;1;1
850;400;55;2;2;1;1
850;0;45;2;2;1;1
850;0;48;2;2;1;1
850;120;56;2;2;1;1
850;0;65;2;2;1;1
850;165;53;3;2;1;1
850;0;46;2;2;1;1
850;360;50;2;2;1;1
850;0;40;2;2;1;1
850;230;50;2;2;1;1
850;250;63;2;2;1;3
850;450;66;3;2;1;1
850;250;40;2;2;1;1
850;0;60;1;2;1;1
850;0;40;1;2;1;1
850;1;40;1;2;1;1
850;465;49;2;2;1;1
850;580;50;2;2;1;1
850;881;50;2;2;1;1
850;513;45;1;1;0;0
850;400;55;2;1;0;1
850;0;56;2;1;0;1
850;0;40;1;1;0;0
850;300;58;2;1;0;1
850;550;54;3;1;0;1
850;236;43;1;2;1;1
850;318;43;1;2;1;1
850;130;56;2;2;1;1
850;0;60;1;2;1;1
850;200;55;2;2;1;1
850;150;42;2;2;1;1
850;290;38;2;2;1;1
850;80;30;1;2;1;1
850;200;45;1;1;0;0
850;200;45;1;1;0;0
855;470;50;2;2;1;1
860;400;53;3;1;0;1
860;340;50;2;1;0;1
870;560;58;2;2;1;1
870;0;50;2;2;1;1
870;380;47;2;1;0;1
880;320;56;3;2;1;1
880;120;56;2;2;1;1
880;120;48;2;2;1;1
880;400;50;1;1;0;0
888;0;70;2;2;1;1
888;0;70;2;2;1;1
890;392;50;2;2;1;1
890;444;67;2;1;0;0
890;296;42;1;1;0;0
899;250;35;1;2;1;1
900;150;40;2;2;1;1
900;130;56;2;2;1;1
900;250;53;2;2;1;1
900;500;50;2;2;1;1
900;465;48;2;2;1;1
900;0;48;2;2;1;1
900;195;48;2;2;1;1
900;650;50;2;2;1;1
900;0;65;2;2;1;1
900;0;46;2;2;1;1
900;365;58;2;2;1;1
900;0;35;1;2;1;1
900;260;50;2;2;1;1
900;0;44;2;2;1;1
900;200;54;2;2;1;1
900;200;53;3;2;1;1
900;200;53;3;2;1;1
900;0;50;2;2;1;1
900;0;47;2;2;1;1
900;130;48;2;2;1;2
900;105;56;2;2;1;1
900;80;58;2;2;1;1
900;0;56;2;2;1;1
900;0;45;2;2;1;1
900;475;58;2;2;1;1
900;50;50;2;2;1;1
900;0;50;2;2;1;1
900;0;48;2;2;1;1
900;220;55;2;2;1;1
900;0;48;2;2;1;1
900;522;50;2;2;1;1
900;180;35;1;2;1;1
900;180;35;1;2;1;1
900;320;38;2;2;1;1
900;504;80;2;2;1;1
900;320;39;2;2;1;1
900;0;56;2;2;1;1
900;540;55;2;2;1;1
900;190;50;1;2;1;1
900;520;50;2;2;1;1
900;350;61;3;2;1;1
900;511;50;2;2;1;1
900;392;50;2;2;1;1
900;380;50;2;2;1;1
900;201;35;1;2;1;1
900;201;35;1;2;1;1
900;300;35;1;1;0;0
900;402;50;2;1;0;1
900;520;50;2;1;0;1
900;430;55;1;1;0;1
900;240;43;1;1;0;0
900;341;46;2;2;1;1
900;150;58;2;2;1;1
900;100;56;2;1;0;1
900;170;48;2;1;0;1
900;387;71;1;1;0;1
900;0;50;2;1;0;1
900;0;56;2;1;0;1
900;0;70;2;1;0;0
900;0;56;2;1;0;1
900;0;56;2;1;0;1
900;0;56;2;1;0;1
900;320;39;2;1;0;1
900;540;55;2;1;0;1
900;337;45;1;1;0;1
900;500;50;2;1;0;1
900;465;49;2;1;0;1
900;0;45;2;1;0;1
900;590;55;2;1;0;1
900;201;35;1;1;0;1
900;200;44;2;1;0;1
900;388;67;1;2;1;1
900;450;50;2;2;1;1
900;879;62;2;2;1;2
900;330;45;2;2;1;1
900;110;56;2;2;1;1
900;130;56;2;2;1;1
900;380;48;2;2;1;1
900;380;48;2;2;1;1
900;172;45;2;2;1;1
900;0;45;2;2;1;1
900;426;45;2;2;1;1
900;0;50;2;2;1;1
900;500;50;2;2;1;1
900;300;60;2;2;1;1
900;0;49;2;2;1;1
900;356;38;1;1;0;1
900;560;40;1;1;0;1
900;415;50;1;1;0;1
900;250;56;2;1;0;0
900;415;48;2;1;0;1
900;0;44;2;1;0;1
900;341;45;2;1;0;1
900;350;61;3;1;0;1
900;250;41;2;1;0;1
905;190;30;1;2;1;1
905;169;30;1;1;0;0
910;240;53;2;1;0;1
920;650;52;2;2;1;1
920;529;53;2;1;0;1
925;325;46;2;2;1;1
930;220;47;2;2;1;1
930;280;48;2;2;1;1
930;400;52;2;2;1;1
940;160;41;2;2;1;1
940;0;43;2;2;1;1
940;352;45;1;1;0;1
944;1627;158;3;2;1;2
950;430;60;2;2;1;1
950;359;60;2;2;1;1
950;380;50;2;2;1;1
950;0;50;2;2;1;1
950;300;59;3;2;1;1
950;250;44;1;2;1;1
950;460;68;2;2;1;1
950;430;66;3;2;1;1
950;341;45;2;2;1;1
950;502;62;2;2;1;1
950;450;48;2;2;1;1
950;0;60;2;2;1;1
950;530;52;2;2;1;1
950;275;46;2;2;1;1
950;270;70;2;1;0;0
950;300;70;2;1;0;0
950;0;53;2;1;0;0
950;150;48;2;1;0;1
950;150;56;2;1;0;1
950;250;63;2;1;0;1
950;0;56;2;1;0;1
950;250;44;1;1;0;1
950;341;45;2;1;0;1
950;275;50;2;1;0;1
950;547;64;2;1;0;0
950;565;96;2;2;1;1
950;550;70;2;2;1;1
950;1;55;1;2;1;1
950;463;67;2;2;1;1
950;150;48;2;2;1;1
950;0;60;2;2;1;1
950;0;48;2;2;1;1
950;273;40;1;2;1;1
950;328;47;2;2;1;1
950;0;44;2;1;0;1
950;250;54;2;1;0;1
950;0;56;2;1;0;1
950;450;48;1;1;0;0
955;150;58;2;2;1;1
955;150;58;2;1;0;1
970;350;66;3;2;1;1
980;320;55;2;2;1;1
980;490;50;1;2;1;1
980;211;50;1;1;0;0
980;75;45;1;1;0;0
980;267;67;2;1;0;1
980;0;34;1;1;0;0
980;0;34;1;1;0;0
980;460;64;3;2;1;1
980;424;65;2;1;0;1
990;692;57;2;2;1;1
990;516;90;2;1;0;1
990;566;92;2;1;0;1
990;0;75;3;1;0;0
990;493;90;2;2;1;1
990;260;47;2;2;1;1
999;0;70;2;2;1;1
999;0;70;2;2;1;1
999;350;50;2;2;1;1
999;590;72;2;2;1;2
999;240;60;2;2;1;1
1000;148;45;2;2;1;1
1000;100;48;2;2;1;1
1000;200;48;2;2;1;1
1000;180;52;1;2;1;1
1000;0;65;2;2;1;1
1000;0;100;2;2;1;1
1000;200;56;2;2;1;1
1000;380;58;2;2;1;1
1000;380;48;2;2;1;1
1000;750;60;2;2;1;1
1000;320;50;2;2;1;1
1000;330;50;2;2;1;1
1000;0;70;2;2;1;1
1000;395;55;2;2;1;1
1000;530;62;3;2;1;1
1000;0;50;2;2;1;1
1000;0;55;2;2;1;1
1000;290;38;2;2;1;1
1000;0;48;2;2;1;1
1000;352;53;2;2;1;1
1000;500;63;3;2;1;1
1000;412;50;2;2;1;1
1000;0;38;2;2;1;1
1000;100;52;2;2;1;1
1000;260;58;3;2;1;1
1000;204;55;3;2;1;1
1000;350;50;2;2;1;1
1000;200;47;1;2;1;1
1000;0;60;2;2;1;1
1000;0;60;2;2;1;1
1000;534;58;2;2;1;1
1000;609;55;3;2;1;1
1000;550;60;2;2;1;1
1000;380;48;2;2;1;1
1000;250;57;2;2;1;1
1000;350;47;2;2;1;1
1000;270;48;2;2;1;1
1000;522;50;1;2;1;1
1000;418;50;1;2;1;1
1000;400;31;1;2;1;1
1000;240;42;2;2;1;1
1000;340;49;2;2;1;1
1000;340;49;2;2;1;1
1000;0;50;2;2;1;1
1000;0;58;2;2;1;1
1000;0;50;2;2;1;1
1000;340;50;2;2;1;1
1000;240;42;2;2;1;1
1000;240;42;2;2;1;1
1000;300;47;2;2;1;1
1000;10;90;2;2;1;1
1000;500;48;2;2;1;1
1000;0;43;2;2;1;1
1000;500;60;2;2;1;1
1000;559;32;1;2;1;1
1000;310;45;1;2;1;1
1000;250;46;2;2;1;1
1000;300;52;2;2;1;1
1000;329;45;2;2;1;1
1000;430;47;2;2;1;1
1000;350;45;2;2;1;1
1000;0;52;2;2;1;1
1000;800;61;2;2;1;2
1000;400;50;2;2;1;1
1000;350;60;2;2;1;1
1000;393;44;2;2;1;1
1000;390;44;2;2;1;1
1000;350;44;2;2;1;1
1000;215;48;1;2;1;1
1000;455;70;1;2;1;1
1000;456;40;1;2;1;1
1000;0;35;1;2;1;1
1000;570;50;2;2;1;1
1000;300;48;2;2;1;1
1000;460;49;2;2;1;1
1000;500;70;2;2;1;1
1000;470;51;2;2;1;1
1000;580;58;2;2;1;1
1000;550;65;2;2;1;1
1000;277;48;2;2;1;1
1000;460;50;2;2;1;1
1000;480;50;2;2;1;1
1000;400;60;2;2;1;1
1000;520;50;2;2;1;1
1000;450;50;2;2;1;1
1000;450;50;2;2;1;1
1000;452;47;2;2;1;1
1000;30;30;1;2;1;1
1000;440;55;2;2;1;1
1000;100;50;2;2;1;1
1000;590;62;2;2;1;1
1000;0;56;1;2;1;1
1000;654;65;2;1;0;1
1000;270;70;2;1;0;1
1000;270;30;1;1;0;0
1000;400;50;1;1;0;0
1000;299;30;1;1;0;0
1000;458;39;1;1;0;1
1000;452;39;1;1;0;1
1000;513;50;1;1;0;0
1000;380;80;2;1;0;0
1000;550;49;2;1;0;1
1000;717;80;2;1;0;1
1000;50;45;2;1;0;1
1000;50;45;2;1;0;1
1000;380;45;2;1;0;0
1000;1076;75;2;3;0;1
1000;611;35;1;1;0;1
1000;900;68;2;1;0;1
1000;610;72;2;1;0;1
1000;610;72;2;1;0;1
1000;1;40;1;1;0;0
1000;340;47;2;1;0;1
1000;150;56;2;1;0;1
1000;100;49;2;1;0;1
1000;0;65;2;1;0;0
1000;0;59;2;1;0;1
1000;360;55;2;1;0;0
1000;709;59;2;2;1;1
1000;0;48;2;1;0;1
1000;0;47;2;1;0;0
1000;389;48;2;1;0;1
1000;350;45;2;1;0;1
1000;377;53;2;1;0;1
1000;360;47;2;1;0;1
1000;485;52;2;2;1;1
1000;658;76;3;1;0;1
1000;100;30;1;1;0;0
1000;343;60;2;1;0;1
1000;660;59;2;1;0;1
1000;380;48;2;1;0;1
1000;240;42;2;1;0;1
1000;10;90;2;1;0;0
1000;527;60;2;1;0;1
1000;600;60;2;1;0;1
1000;630;70;2;1;0;1
1000;532;45;1;1;0;1
1000;250;35;1;1;0;0
1000;606;62;2;1;0;1
1000;330;52;2;1;0;1
1000;430;47;2;1;0;1
1000;329;45;2;1;0;1
1000;946;62;2;1;0;2
1000;500;70;3;2;1;1
1000;360;52;2;1;0;1
1000;300;60;2;1;0;1
1000;455;41;1;1;0;1
1000;455;48;1;1;0;1
1000;425;63;3;1;0;1
1000;470;51;2;1;0;1
1000;460;49;2;1;0;1
1000;350;50;2;1;0;1
1000;525;50;2;1;0;1
1000;550;53;2;1;0;1
1000;450;52;2;1;0;2
1000;791;57;2;1;0;1
1000;0;42;2;1;0;1
1000;310;46;2;1;0;1
1000;281;43;2;1;0;1
1000;293;70;2;1;0;0
1000;185;35;1;1;0;0
1000;293;70;2;1;0;0
1000;440;55;2;1;0;0
1000;450;60;2;1;0;1
1000;580;60;2;1;0;1
1000;500;59;2;2;1;1
1000;535;45;1;1;0;1
1000;295;30;1;2;1;1
1000;379;30;1;2;1;1
1000;458;39;1;2;1;1
1000;408;70;2;2;1;1
1000;50;45;2;2;1;1
1000;415;78;2;2;1;2
1000;50;45;2;2;1;1
1000;600;70;2;2;1;2
1000;600;70;2;2;1;2
1000;700;70;2;2;1;2
1000;600;70;2;2;1;2
1000;600;78;2;2;1;2
1000;600;70;2;2;1;1
1000;600;78;2;2;1;2
1000;200;47;2;2;1;1
1000;500;78;2;2;1;1
1000;600;70;2;2;1;2
1000;600;70;2;2;1;2
1000;480;50;2;2;1;1
1000;610;72;2;2;1;1
1000;483;52;2;2;1;1
1000;400;50;2;2;1;1
1000;0;50;1;2;1;1
1000;650;72;3;2;1;2
1000;0;48;1;2;1;1
1000;0;45;2;2;1;1
1000;0;48;1;2;1;1
1000;680;70;2;2;1;1
1000;725;62;2;2;1;1
1000;442;67;2;2;1;2
1000;400;31;1;2;1;1
1000;150;49;2;2;1;1
1000;750;58;2;2;1;1
1000;80;60;2;2;1;1
1000;300;44;2;2;1;1
1000;0;60;2;2;1;1
1000;390;45;1;2;1;1
1000;0;40;1;2;1;1
1000;336;49;2;2;1;1
1000;530;60;2;2;1;1
1000;300;52;2;2;1;1
1000;0;35;1;2;1;1
1000;283;57;2;2;1;1
1000;470;77;2;2;1;1
1000;830;58;2;2;1;1
1000;292;50;1;1;0;0
1000;390;45;1;1;0;0
1000;452;39;1;1;0;1
1000;317;36;1;1;0;0
1000;611;37;1;1;0;1
1000;150;50;1;1;0;1
1000;300;42;2;1;0;0
1000;0;50;2;2;1;1
1000;460;50;2;1;0;1
1000;450;70;2;1;0;1
1000;343;60;2;1;0;1
1000;340;50;2;1;0;1
1000;100;33;1;1;0;1
1000;250;46;2;1;0;1
1000;1057;62;2;1;0;2
1000;500;47;2;1;0;1
1000;1400;110;2;2;1;2
1000;0;40;1;1;0;0
1000;270;44;2;1;0;1
1000;0;56;1;2;1;1
1005;200;47;1;2;1;1
1010;140;57;2;1;0;1
1010;594;65;2;2;0;1
1015;950;64;2;2;1;1
1020;0;45;1;2;1;1
1020;180;56;2;2;1;1
1030;270;41;3;1;0;1
1030;370;65;2;1;0;1
1032;568;65;2;1;0;1
1040;460;48;2;2;1;1
1040;460;59;2;1;0;1
1045;305;48;2;2;1;1
1050;230;48;2;2;1;1
1050;500;50;2;2;1;1
1050;450;50;2;2;1;1
1050;320;50;2;2;1;1
1050;450;57;2;2;1;1
1050;251;45;2;2;1;1
1050;400;50;2;1;0;1
1050;250;57;2;1;0;1
1050;350;55;2;1;0;1
1050;500;56;2;1;0;1
1050;0;56;2;1;0;1
1050;450;60;2;1;0;1
1050;750;58;2;3;2;1
1050;0;51;1;1;0;0
1050;320;50;2;1;0;1
1050;297;47;2;1;0;1
1050;251;45;2;1;0;1
1050;200;40;1;2;1;1
1050;850;73;2;2;1;1
1050;295;50;2;2;1;1
1050;350;44;2;2;1;1
1050;250;44;2;2;1;1
1050;340;72;3;2;1;1
1050;0;57;2;1;0;1
1050;600;65;2;1;0;1
1050;420;60;2;1;0;1
1070;0;50;2;2;1;1
1070;510;60;2;2;1;1
1080;425;45;2;1;0;1
1080;603;80;3;2;0;1
1080;488;60;2;2;1;1
1089;0;101;3;2;1;1
1090;520;35;1;1;0;0
1099;400;85;2;2;1;1
1100;590;64;3;2;1;1
1100;546;96;3;2;1;1
1100;250;48;2;2;1;1
1100;580;60;2;2;1;1
1100;0;60;2;2;1;1
1100;300;50;2;2;1;1
1100;498;47;2;2;1;1
1100;442;67;2;2;1;1
1100;480;62;3;2;1;1
1100;350;50;2;2;1;1
1100;0;64;2;2;1;1
1100;450;57;2;2;1;1
1100;340;55;2;2;1;1
1100;360;62;2;2;1;1
1100;360;62;2;2;1;1
1100;0;40;2;2;1;1
1100;0;43;2;2;1;1
1100;120;50;2;2;1;1
1100;0;56;2;2;1;1
1100;0;57;2;2;1;1
1100;270;50;2;2;1;1
1100;290;49;3;2;1;1
1100;240;47;2;2;1;1
1100;300;50;2;2;1;1
1100;515;53;2;2;1;1
1100;200;47;1;2;1;1
1100;300;47;2;2;1;1
1100;600;54;2;2;1;1
1100;480;50;2;2;1;1
1100;430;65;3;2;1;2
1100;560;60;2;2;1;1
1100;448;50;2;2;1;1
1100;0;50;2;2;1;1
1100;400;48;2;2;1;1
1100;270;47;2;2;1;1
1100;250;54;2;2;1;1
1100;0;45;2;2;1;1
1100;0;45;2;2;1;1
1100;250;54;2;2;1;1
1100;200;55;2;2;1;1
1100;320;50;1;2;1;1
1100;380;57;2;2;1;1
1100;350;49;2;2;1;1
1100;745;60;2;2;1;1
1100;450;60;2;2;1;1
1100;0;54;2;2;1;1
1100;280;45;2;2;1;1
1100;0;35;1;2;1;1
1100;97;40;2;2;1;1
1100;564;55;2;2;1;1
1100;564;55;2;2;1;1
1100;97;41;2;2;1;1
1100;300;44;2;2;1;1
1100;553;52;1;2;1;1
1100;580;55;3;2;1;1
1100;520;56;2;2;1;1
1100;480;59;2;2;1;1
1100;560;60;3;2;1;1
1100;560;60;3;2;1;1
1100;600;62;2;2;1;1
1100;400;38;2;2;1;1
1100;400;39;2;2;1;1
1100;454;98;3;2;1;1
1100;454;98;3;2;1;1
1100;561;55;2;2;1;1
1100;0;70;2;2;1;1
1100;560;62;2;2;1;1
1100;600;56;2;2;1;1
1100;474;50;2;2;1;1
1100;541;41;1;2;1;1
1100;710;67;3;2;1;1
1100;1;45;2;2;1;1
1100;746;62;2;2;1;2
1100;600;75;2;2;1;1
1100;662;58;2;2;1;1
1100;763;72;2;2;1;2
1100;480;50;2;2;1;1
1100;250;40;1;2;1;1
1100;430;49;2;2;1;1
1100;600;56;2;2;1;1
1100;692;54;2;2;1;1
1100;350;50;2;2;1;1
1100;750;67;2;2;1;1
1100;360;58;2;2;1;1
1100;340;55;2;2;1;1
1100;429;54;2;2;1;1
1100;319;55;2;2;1;1
1100;400;50;2;2;1;1
1100;499;60;2;2;1;1
1100;565;60;2;2;1;1
1100;590;51;2;2;1;1
1100;446;56;2;2;1;1
1100;454;45;1;1;0;0
1100;270;70;2;1;0;1
1100;437;50;1;1;0;0
1100;386;41;1;1;0;0
1100;386;41;1;1;0;0
1100;401;38;1;1;0;0
1100;512;55;2;1;0;1
1100;400;42;1;1;0;1
1100;400;42;1;1;0;1
1100;0;50;1;1;0;1
1100;810;70;2;2;1;2
1100;0;40;1;1;0;0
1100;0;40;1;1;0;1
1100;700;90;2;1;0;1
1100;390;45;2;1;0;1
1100;200;48;2;1;0;1
1100;362;50;2;1;0;1
1100;100;38;1;1;0;1
1100;100;38;1;1;0;1
1100;139;35;1;1;0;0
1100;0;65;2;1;0;0
1100;500;48;2;1;0;1
1100;390;54;2;2;1;1
1100;400;68;3;2;1;1
1100;350;50;3;1;0;1
1100;350;48;2;1;0;1
1100;350;55;2;1;0;1
1100;0;56;2;1;0;1
1100;0;66;2;1;0;0
1100;300;47;2;1;0;1
1100;450;80;2;1;0;1
1100;500;50;2;1;0;1
1100;430;65;3;1;0;2
1100;400;48;2;1;0;1
1100;642;55;2;1;0;1
1100;300;44;2;1;0;1
1100;500;65;2;1;0;1
1100;538;37;1;1;0;1
1100;560;70;3;1;0;1
1100;420;53;1;2;1;1
1100;400;38;2;1;0;1
1100;600;56;2;1;0;1
1100;0;50;1;1;0;1
1100;0;50;1;1;0;1
1100;270;44;1;1;0;1
1100;270;44;1;1;0;1
1100;270;44;1;1;0;1
1100;572;60;1;1;0;1
1100;450;48;2;1;0;2
1100;450;48;2;1;0;1
1100;700;72;3;2;1;2
1100;760;65;3;2;1;1
1100;446;58;2;1;0;1
1100;692;54;2;1;0;1
1100;350;50;2;1;0;1
1100;350;50;2;1;0;1
1100;355;48;2;1;0;1
1100;465;48;2;1;0;1
1100;578;50;2;1;0;1
1100;413;49;2;1;0;1
1100;452;55;2;1;0;1
1100;580;54;2;1;0;1
1100;460;47;2;1;0;1
1100;279;43;1;1;0;1
1100;310;49;2;1;0;1
1100;250;47;2;1;0;1
1100;417;65;2;1;0;1
1100;1018;56;1;1;0;1
1100;400;50;2;1;0;1
1100;300;70;2;1;0;1
1100;530;55;2;1;0;1
1100;600;60;2;1;0;1
1100;565;60;2;1;0;1
1100;532;52;2;1;0;1
1100;316;50;2;1;0;1
1100;490;55;3;1;0;1
1100;617;78;2;2;1;1
1100;441;50;1;2;1;1
1100;300;47;2;2;1;1
1100;310;30;1;2;1;1
1100;310;57;1;2;1;1
1100;652;62;2;2;1;1
1100;480;52;2;2;1;1
1100;584;60;2;2;1;1
1100;250;50;2;2;1;1
1100;0;40;1;2;1;1
1100;0;70;2;2;1;1
1100;0;67;2;2;1;1
1100;774;62;2;2;1;1
1100;642;55;2;2;1;1
1100;0;49;2;2;1;1
1100;180;48;2;2;1;1
1100;0;46;2;2;1;1
1100;200;77;2;2;1;1
1100;250;43;2;2;1;1
1100;80;47;2;2;1;1
1100;0;76;2;2;1;1
1100;352;100;2;2;1;1
1100;382;64;3;2;1;1
1100;376;54;2;2;1;1
1100;400;56;2;2;1;1
1100;380;55;2;2;1;1
1100;270;47;2;2;1;1
1100;200;46;2;2;1;1
1100;340;50;2;2;1;1
1100;200;45;2;2;1;1
1100;210;48;2;2;1;1
1100;740;60;2;2;1;1
1100;0;35;1;2;1;1
1100;600;77;2;2;1;1
1100;550;59;2;2;1;1
1100;600;60;2;2;1;1
1100;400;67;3;2;1;1
1100;420;53;1;2;1;1
1100;662;59;2;2;1;1
1100;597;60;2;2;1;1
1100;270;44;1;2;1;1
1100;900;86;2;2;1;2
1100;500;50;2;2;1;1
1100;500;62;2;2;1;1
1100;515;58;2;2;1;1
1100;460;49;2;2;1;1
1100;473;52;2;2;1;1
1100;599;56;2;2;1;1
1100;453;49;2;2;1;1
1100;500;90;2;2;1;1
1100;650;61;3;2;1;1
1100;410;50;3;2;1;1
1100;237;51;2;2;1;1
1100;670;65;3;2;1;1
1100;293;40;1;1;0;0
1100;250;50;1;1;0;0
1100;441;50;1;1;0;0
1100;310;57;1;1;0;0
1100;440;61;1;1;0;0
1100;0;64;2;1;0;1
1100;420;48;2;1;0;1
1100;665;68;3;1;0;1
1100;665;64;3;1;0;1
1100;270;44;1;1;0;1
1100;270;44;1;1;0;1
1100;500;50;1;1;0;1
1100;709;70;2;2;1;1
1100;315;48;2;1;0;1
1100;421;50;2;1;0;1
1100;0;50;2;1;0;0
1105;495;65;3;1;0;1
1105;0;45;2;1;0;1
1105;535;60;2;1;0;1
1115;863;61;2;2;1;2
1120;340;48;2;2;1;1
1120;380;68;3;2;1;1
1120;280;50;2;2;1;1
1120;663;59;3;1;0;1
1131;287;60;3;2;1;1
1132;418;40;2;2;1;1
1132;287;60;3;2;1;1
1140;780;70;2;1;0;1
1145;640;80;3;1;0;1
1150;0;52;2;2;1;1
1150;370;55;2;2;1;1
1150;350;57;2;2;1;1
1150;450;54;2;2;1;1
1150;260;40;2;2;1;1
1150;330;45;2;2;1;1
1150;350;48;2;2;1;1
1150;450;90;3;2;1;1
1150;0;45;2;2;1;1
1150;400;50;2;2;1;1
1150;360;65;2;2;1;1
1150;405;58;2;2;1;1
1150;700;65;3;2;1;1
1150;415;55;2;2;1;1
1150;500;55;2;2;1;1
1150;480;50;2;2;1;1
1150;465;51;2;2;1;1
1150;350;70;2;2;1;1
1150;484;55;2;2;1;1
1150;120;49;2;1;0;1
1150;0;56;2;1;0;1
1150;150;56;3;1;0;1
1150;350;48;2;1;0;1
1150;360;65;2;1;0;1
